304,Motorway Services,Roadchef,Odeon,Gluten Free Sandwiches,Hospital,Costa Coffee,Eating Out,High Street Stores,UK Eating Out,,,,,
303,Coffee,Coffee Shops,Chain Restaurants,Lunch,Toasties,Gluten Free Sandwiches,Costa Coffee,UK Eating Out,,,,,,
302,Aldi,Coffee Shops,Free From Aisle,Gluten Free Products,Own Brand,Gluten Free Bread,Gluten Free Pasta,Gluten Free Biscuits,Trial,Store List,,,,
300,Nestle,Supermarkets,Aldi,Gluten Free Products,Own Brand,Trial,Gluten Free Bread,,,,,,,
299,Morrisons,Asda,Sainsburys,Tesco,M&S,Gluten Free Chocolate,Pesto,Mayonnaise,Brown Sauce,Free From Aisle,Accidentally Gluten Free,Regular Aisles,Save Money,Shopping
298,Easter,Hot Cross Buns,Simnel Cake,Free From Aisle,Gluten Free Products,,,,,,,,,
297,Lindt,Easter Bunny,Cadbury,Easter,Easter Eggs,Free From Aisle,Gluten Free Chocolate,Dairy Free,,,,,,
296,Gluten Free Products,Small Businesses,Home Bakers,Markets,Farmers Markets,UK Small Businesses,Gluten Free Bakers,Online Retailers,Independent Retailers,Shopping,,,,
295,Dairy Free,Gluten Free KitKat,Christmas Products,Advent Calendars,Christmas,Free From Aisle,Quality Streets,Roses,Heroes,Celebrations,Gluten Free Chocolate,,,
294,Ocado,M&S,Waitrose,Supermarkets,Free From Aisle,Christmas,Christmas Products,Free From Aisle,Christmas Cake,Christmas Biscuits,Christmas Pudding,,,
293,Cross Grain Logo,Food Labelling,Barley Malt Vinegar,Sarsons,Mizhan,Coeliac Safe Limit,20ppm,,,,,,,
292,Seaside,Gluten Free Chip Shops,100% Gluten Free,UK Eating Out,Eating Out,Vote,Gluten Free Fish and Chips,,,,,,,
291,Heinz,Muller,Gluten Free Products,May Contain Warnings,Recipe Change,Haribo,Allergen Update,,,,,,,
290,Promise Gluten Free,Gluten Free Bakery,Bread,Doughnuts,Sausage Rolls,Gluten Free Alternatives,Independent Retailers,UK Small Businesses,,,,,,
289,Ingredients,Gluten Free Sweets,May Contain Warnings,Haribo,Recipe Change,,,,,,,,,
288,Easter,Easter Eggs,Gluten Free Chocolate,Free From Aisle,Dairy Free,Supermarkets,Cadbury,Nestle,,,,,,
287,West Yorkshire,North Yorkshire,Nandos,Chain Restaurants,Anglesey,Gluten Free Eating Out,Cheshire,Staffordshire,Lounges,UK Eating Out,,,,
286,Advent Calendars,Christmas,Gluten Free Chocolate,Cadbury,Supermarkets,Dairy Free,,,,,,,,
285,Genius,Home Bargains,Schar,Gluten Free Products,Free From Aisle,Gluten Free Bread,Gluten Free Cake,,,,,,,
284,Supermarkets,Christmas,Gluten Free Products,Free From Aisle,Christmas Cake,Christmas Pudding,Christmas Biscuits,,,,,,,
283,Product Recalls,Crisps,Tesco,Supermarkets,Undeclared Gluten,FSA,,,,,,,,
282,Lidl,Eat Real,Lentil Chips,Product Recalls,Undeclared Gluten,May Contain Warnings,FSA,,,,,,,
281,Coeliac Awareness Month,Aldi,Gluten Free Products,Special Buys,,,,,,,,,,
280,Europe,Australia,Gluten Free Bread,UK Gluten Free,Africa,America,Asia,Costs,,,,,,
279,Ready Meals,Gluten Free Pizza,Iceland,Food Warehouse,Kirstys Gluten Free,Supermarkets,Gluten Free Products,,,,,,,
278,Food Fairs,Free From Festival,Bristol,Creative Nature,Luxlo,Liberate,Food Fair,Independent Retailers,UK Small Businesses,,,,,
277,Holyhead,UK Eating Out,North Wales,Gwynedd,Conwy,Llandudno,Gluten Free Eating Out,Gluten Free Chip Shops,Café,,,,,
249,Easter Eggs,Gluten Free Chocolate,Gluten Free KitKat,Terrys Chocolate Orange,Smarties,Easter,Gluten Free Chocolate,Dairy Free,,,,,,
276,Glasgow,Allergy Show,London,Birmingham,Free From Show,Food Fair,Event,,,,,,,
275,Alcohol,WKD,Vodka,Product Change,May Contain Warnings,,,,,,,,,
274,May Contain Warnings,Coffee Shops,Dairy Free Milk,Almond Milk,Costa Coffee,Steam Wand,Cross Contamination,,,,,,,
